Descrição Fornecedor;Valor total;Classificação;Comprador;Plano de ação;Performance de entrega;Situação
BULDOZER COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA;R$ 9.348,00;198;Gibson Ribeiro;;46%;
CASAS DA AGUA MATERIAIS PARA CONSTRUCAO LTDA;R$ 9.130,00;199;Gabriel André Bertram;;100%;
LAERCIO DIMAS POLTRONIERI COM E REP.;R$ 9.100,00;200;Marcia - Compras;;100%;
DIMAROL COM. E REPR. LTDA;R$ 9.024,60;201;Gabriel André Bertram;;100%;
TELE RADIO BRASIL SISTEMAS DE CONTROLE REMOTO LTDA;R$ 9.016,40;202;Marcia - Compras;;0%;
ESTAMPARIA DE METAIS ITIUBA LTDA;R$ 8.826,40;203;Marcia - Compras;;;
FIMACOM COMERCIO DE COMPENSADOS LTDA;R$ 8.480,00;204;Gabriel André Bertram;;100%;
KEYENCE BRASIL COMERCIO DE PRODUTOS ELETRONICOS LTDA.;R$ 8.258,73;205;Gabriel André Bertram;;100%;
DIFERRO ACOS ESPECIAIS LTDA.;R$ 7.959,20;206;Marcia - Compras;;67%;
VTR BRASIL COM EQUIP. OXICORTE EIRELI - EPP;R$ 7.921,55;207;Gabriel André Bertram;;100%;
BREVIL - BREMER & MARCOVIL METAL LTDA;R$ 7.861,49;208;Gabriel André Bertram;;100%;
J.L.W.INDUSTRIA DE APARELHOS ELETRO ELETRONICOS LTDA;R$ 7.731,53;209;Gabriel André Bertram;;100%;
AFONSO BAULER IMPLEMENTOS RODOVIARIOS LTDA;R$ 7.617,68;210;Leonardo Pereira Falconeli Dos Santos;;100%;
GRUPO GONCALVES DIAS S/A;R$ 7.607,02;211;Marcia - Compras;;100%;
KABUM COMERCIO ELETRONICO S.A.;R$ 7.411,73;212;Gibson Ribeiro;;75%;
ALUMIPLAST;R$ 7.352,85;213;Marcia - Compras;;50%;
CONCRERIO ARTEFATOS DE CIMENTO LTDA ME;R$ 7.256,10;214;Leonardo Pereira Falconeli Dos Santos;;100%;
MAXXLIMP HIGIENE E LIMPEZA LTDA;R$ 7.120,20;215;Gabriel André Bertram;;98%;
IGUS DO BRASIL LTDA;R$ 7.067,30;216;Marcia - Compras;;0%;
CONTEC INDUSTRIA E COMERCIO LTDA.;R$ 6.974,00;217;Marcia - Compras;;100%;
KL PRODUTOS DE SEGURANCA LTDA;R$ 6.960,00;218;Gabriel André Bertram;;100%;
VEDAX COMERCIAL LTDA;R$ 6.950,00;219;Marcia - Compras;;86%;
REDUPAR LTDA;R$ 6.888,00;220;Marcia - Compras;;100%;
FABRICA NACIONAL DE AMORTECEDORES;R$ 6.849,00;221;Marcia - Compras;;;
NFM INFORMATICA E ELETRONICOS LTDA;R$ 6.803,80;222;Gibson Ribeiro;;100%;
POMER USINAGEM LTDA;R$ 6.560,00;223;Marcia - Compras;;100%;
TRANSVALD TRANSPORTES E COMERCIO LTDA;R$ 6.400,00;224;Gabriel André Bertram;;100%;
INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS NUTRAER LTDA-M;R$ 6.360,00;225;Gabriel André Bertram;;50%;
ACOS AMERICA LTDA;R$ 6.243,93;226;Marcia - Compras;;86%;
GARMISCH TEXTIL LTDA;R$ 6.234,00;227;Gabriel André Bertram;;100%;
CUNHADOS COM. AUTO PECAS ELET.LTDA.;R$ 6.210,00;228;Marcia - Compras;;67%;
AUTO POSTO NASATO LTDA.;R$ 5.752,00;229;Leonardo Pereira Falconeli Dos Santos;;100%;
REFAL IND.COM.REBITES REBITAD. LTDA;R$ 5.685,00;230;Gabriel André Bertram;;40%;
VIDRACARIA PEROLA DO VALE LTDA. ME;R$ 5.664,00;231;Gabriel André Bertram;;0%;
EXTIMBRAS COMECIO DE EXTINTORES;R$ 5.621,00;232;Leonardo Pereira Falconeli Dos Santos;;70%;
JULIFER IND E COM LTDA;R$ 5.560,00;233;Marcia - Compras;;100%;
DEO IND. E COM. DE ARTEFATOS PLASTICOS;R$ 5.545,60;234;Gabriel André Bertram;;100%;
INDUSTRIAL REX LTDA.;R$ 5.493,85;235;Gabriel André Bertram;;100%;
GESSNER MATERIAL DE CONSTRUCAO LTDA;R$ 5.470,44;236;Gabriel André Bertram;;100%;
VANIO DIESEL LTDA;R$ 5.283,96;237;Leonardo Pereira Falconeli Dos Santos;;100%;
STAM CENTRO DE DISTRIBUICAO;R$ 5.076,00;238;Marcia - Compras;;50%;
BERTOLDI MANGUEIRAS E CONEXOES LTDA;R$ 4.950,00;239;Gabriel André Bertram;;100%;
HOPUS SERVICOS LTDA;R$ 4.734,00;240;Gabriel André Bertram;;60%;
FIEDLER AUTOMACAO INDUSTRIAL LTDA.;R$ 4.628,40;241;Gabriel André Bertram;;0%;
INTERQUIM INDUSTRIA QUIMICA LTDA;R$ 4.536,00;242;Gabriel André Bertram;;83%;
VILI LUIZ OCHNER;R$ 4.400,00;243;Gabriel André Bertram;;100%;
ROEDER INDUSTRIA E COMERCIO DE MADEIRAS LTDA;R$ 4.350,00;244;Gabriel André Bertram;;100%;
COMERCIO DE FERRAGENS ZICKUHR LTDA;R$ 4.303,90;245;Leonardo Pereira Falconeli Dos Santos;;89%;
KOCH HIPERMERCADO SA;R$ 4.251,00;246;Leonardo Pereira Falconeli Dos Santos;;100%;
METALURGICA TERENA LTDA;R$ 4.179,37;247;Marcia - Compras;;0%;
A.T.I.BRASIL;R$ 4.171,49;248;Gabriel André Bertram;;100%;
TRANSPOTECH PECAS E SERVICOS LTDA;R$ 4.160,00;249;Gabriel André Bertram;;100%;
FERRAMENTAS GERAIS COM. IMP. LTDA.;R$ 4.154,75;250;Gabriel André Bertram;;100%;
CORSUL COMERCIO E REPRESENTACOES DO SUL LTDA;R$ 4.054,74;251;Gabriel André Bertram;;100%;
CBS COMERCIO E REPRESENTACOES LTDA.;R$ 4.035,60;252;Gabriel André Bertram;;100%;
VIGRAF IND GRAFICA LTDA EPP;R$ 3.970,00;253;Gibson Ribeiro;;0%;
