Pedido;Data Cadastro;Produto;Descrição Produto;Quantidade Compra;Unidade de Compra;Preço Unit. Compra;Fornecedor;Descrição Fornecedor;Situação Pedido;Previsão Entrega Inicial;Previsão Entrega Atual;Comprador;Nome Comprador;Condição Pagamento;Descrição Condição Pagamento;Data Recebimentos;Máscara de Entrada
54879;27/01/2023;1035;Bobina #16 Zn 1,55x1000mm;30.760,00;KG;7,32;20878;PANATLANTICA CATARINENSE S.A.;Atendido;13/02/2023;14/02/2023;109;Marcia - Compras;12;28/42/56 DIAS;14/02/2023 - 13/02/2023;1.01.02.04.06.00001
55397;28/02/2023;1035;Bobina #16 Zn 1,55x1000mm;12.000,00;KG;7,38;24590;METALURGICA BARRA DO PIRAI S/A;Atendido;20/03/2023;20/03/2023;109;Marcia - Compras;14;30/45/60 DIAS;13/03/2023;1.01.02.04.06.00001
56197;28/04/2023;1035;Bobina #16 Zn 1,55x1000mm;6.000,00;KG;7,2;20878;PANATLANTICA CATARINENSE S.A.;Atendido;08/05/2023;08/05/2023;109;Marcia - Compras;12;28/42/56 DIAS;08/05/2023;1.01.02.04.06.00001
56613;31/05/2023;1035;Bobina #16 Zn 1,55x1000mm;18.000,00;KG;7,2;20878;PANATLANTICA CATARINENSE S.A.;Atendido;19/06/2023;19/06/2023;109;Marcia - Compras;12;28/42/56 DIAS;16/06/2023;1.01.02.04.06.00001
56834;16/06/2023;1035;Bobina #16 Zn 1,55x1000mm;2.374,00;KG;7,2;20878;PANATLANTICA CATARINENSE S.A.;Atendido;16/06/2023;16/06/2023;109;Marcia - Compras;12;28/42/56 DIAS;16/06/2023;1.01.02.04.06.00001
57071;30/06/2023;1035;Bobina #16 Zn 1,55x1000mm;12.000,00;KG;7,2;20878;PANATLANTICA CATARINENSE S.A.;Atendido;24/07/2023;24/07/2023;109;Marcia - Compras;12;28/42/56 DIAS;24/07/2023;1.01.02.04.06.00001
58047;29/08/2023;1035;Bobina #16 Zn 1,55x1000mm;30.000,00;KG;6,85;23066;ARCELORMITTAL BRASIL S A;Atendido;11/09/2023;04/12/2023;109;Marcia - Compras;14;30/45/60 DIAS;04/09/2023 - 06/09/2023 - 06/09/2023 - 06/09/2023 - 06/09/2023 - 11/12/2023;1.01.02.04.06.00001
58585;28/09/2023;1035;Bobina #16 Zn 1,55x1000mm;10.164,00;KG;6,95;20878;PANATLANTICA CATARINENSE S.A.;Atendido;23/10/2023;31/10/2023;109;Marcia - Compras;12;28/42/56 DIAS;01/11/2023;1.01.02.04.06.00001
59171;31/10/2023;1035;Bobina #16 Zn 1,55x1000mm;36.000,00;KG;6,95;20878;PANATLANTICA CATARINENSE S.A.;Atendido;13/11/2023;29/02/2024;109;Marcia - Compras;12;28/42/56 DIAS;20/11/2023 - 24/11/2023 - 29/11/2023 - 07/12/2023 - 10/01/2024 - 04/03/2024;1.01.02.04.06.00001
59793;08/12/2023;1035;Bobina #16 Zn 1,55x1000mm;18.000,00;KG;6,65;23948;ARCELOR MITTAL BRASIL S/A;Atendido;08/01/2024;31/01/2024;109;Marcia - Compras;14;30/45/60 DIAS;16/01/2024 - 29/01/2024;1.01.02.04.06.00001
59957;19/12/2023;1035;Bobina #16 Zn 1,55x1000mm;6.000,00;KG;6,85;20878;PANATLANTICA CATARINENSE S.A.;Atendido;29/01/2024;29/01/2024;109;Marcia - Compras;12;28/42/56 DIAS;19/01/2024;1.01.02.04.06.00001
55377;28/02/2023;1036;Bobina #16 Zn 1,55x1200mm;6.000,00;KG;7,2;20878;PANATLANTICA CATARINENSE S.A.;Atendido;21/03/2023;21/03/2023;109;Marcia - Compras;12;28/42/56 DIAS;21/03/2023;1.01.02.04.06.00002
54877;27/01/2023;1042;Bobina #18 Zn 1,25x1000mm;12.000,00;KG;7,32;20878;PANATLANTICA CATARINENSE S.A.;Atendido;13/02/2023;13/02/2023;109;Marcia - Compras;12;28/42/56 DIAS;10/02/2023;1.01.02.04.05.00001
58065;29/08/2023;1042;Bobina #18 Zn 1,25x1000mm;6.000,00;KG;7,28;24241;ELETROPOLL ELETRODUTOS METALICOS LTDA;Atendido;18/09/2023;18/09/2023;109;Marcia - Compras;12;28/42/56 DIAS;15/09/2023;1.01.02.04.05.00001
58583;28/09/2023;1042;Bobina #18 Zn 1,25x1000mm;6.000,00;KG;7,1;20878;PANATLANTICA CATARINENSE S.A.;Atendido;16/10/2023;16/10/2023;109;Marcia - Compras;12;28/42/56 DIAS;25/10/2023;1.01.02.04.05.00001
59929;18/12/2023;1042;Bobina #18 Zn 1,25x1000mm;8.000,00;KG;7,1;20878;PANATLANTICA CATARINENSE S.A.;Atendido;22/01/2024;22/01/2024;109;Marcia - Compras;12;28/42/56 DIAS;19/01/2024;1.01.02.04.05.00001
54878;27/01/2023;1043;Bobina #18 Zn 1,25x1200mm;12.000,00;KG;7,32;20878;PANATLANTICA CATARINENSE S.A.;Atendido;13/02/2023;13/02/2023;109;Marcia - Compras;12;28/42/56 DIAS;10/02/2023;1.01.02.04.05.00002
55378;28/02/2023;1043;Bobina #18 Zn 1,25x1200mm;12.000,00;KG;7,2;20878;PANATLANTICA CATARINENSE S.A.;Atendido;22/03/2023;22/03/2023;109;Marcia - Compras;12;28/42/56 DIAS;21/03/2023;1.01.02.04.05.00002
56196;28/04/2023;1043;Bobina #18 Zn 1,25x1200mm;6.000,00;KG;7,36;20878;PANATLANTICA CATARINENSE S.A.;Atendido;08/05/2023;08/05/2023;109;Marcia - Compras;12;28/42/56 DIAS;08/05/2023;1.01.02.04.05.00002
56612;31/05/2023;1043;Bobina #18 Zn 1,25x1200mm;18.000,00;KG;7,36;20878;PANATLANTICA CATARINENSE S.A.;Atendido;19/06/2023;19/06/2023;109;Marcia - Compras;12;28/42/56 DIAS;15/06/2023 - 16/06/2023;1.01.02.04.05.00002
57070;30/06/2023;1043;Bobina #18 Zn 1,25x1200mm;12.000,00;KG;7,36;20878;PANATLANTICA CATARINENSE S.A.;Atendido;24/07/2023;24/07/2023;109;Marcia - Compras;12;28/42/56 DIAS;14/07/2023;1.01.02.04.05.00002
58054;29/08/2023;1043;Bobina #18 Zn 1,25x1200mm;30.000,00;KG;7,12;20878;PANATLANTICA CATARINENSE S.A.;Atendido;04/09/2023;04/09/2023;109;Marcia - Compras;12;28/42/56 DIAS;13/09/2023 - 14/09/2023;1.01.02.04.05.00002
58584;28/09/2023;1043;Bobina #18 Zn 1,25x1200mm;24.000,00;KG;7,1;20878;PANATLANTICA CATARINENSE S.A.;Atendido;16/10/2023;16/10/2023;109;Marcia - Compras;12;28/42/56 DIAS;19/10/2023;1.01.02.04.05.00002
59168;31/10/2023;1043;Bobina #18 Zn 1,25x1200mm;30.000,00;KG;7,1;20878;PANATLANTICA CATARINENSE S.A.;Atendido;27/11/2023;27/11/2023;109;Marcia - Compras;12;28/42/56 DIAS;20/11/2023 - 23/11/2023 - 24/11/2023;1.01.02.04.05.00002
59968;19/12/2023;1043;Bobina #18 Zn 1,25x1200mm;6.000,00;KG;7,1;20878;PANATLANTICA CATARINENSE S.A.;Atendido;29/01/2024;29/01/2024;109;Marcia - Compras;12;28/42/56 DIAS;18/01/2024;1.01.02.04.05.00002
54889;27/01/2023;1048;Bobina #19 Zn 1,11x1200MM;6.000,00;KG;8,09;24241;ELETROPOLL ELETRODUTOS METALICOS LTDA;Atendido;06/02/2023;06/02/2023;109;Marcia - Compras;;28 (33,33%) / 42 (33,33%) / 56 (33,34%) Dias;21/02/2023;1.01.02.04.04.00002
56184;28/04/2023;1048;Bobina #19 Zn 1,11x1200MM;6.000,00;KG;8,15;24241;ELETROPOLL ELETRODUTOS METALICOS LTDA;Atendido;08/05/2023;15/05/2023;109;Marcia - Compras;12;28/42/56 DIAS;15/05/2023;1.01.02.04.04.00002
56622;01/06/2023;1048;Bobina #19 Zn 1,11x1200MM;6.000,00;KG;8,09;24241;ELETROPOLL ELETRODUTOS METALICOS LTDA;Atendido;19/06/2023;19/06/2023;109;Marcia - Compras;12;28/42/56 DIAS;15/06/2023;1.01.02.04.04.00002
59146;31/10/2023;1048;Bobina #19 Zn 1,11x1200MM;6.740,00;KG;8,09;24241;ELETROPOLL ELETRODUTOS METALICOS LTDA;Atendido;13/11/2023;20/11/2023;109;Marcia - Compras;12;28/42/56 DIAS;21/11/2023;1.01.02.04.04.00002
59964;19/12/2023;1048;Bobina #19 Zn 1,11x1200MM;6.000,00;KG;8,09;24241;ELETROPOLL ELETRODUTOS METALICOS LTDA;Atendido;29/01/2024;29/01/2024;109;Marcia - Compras;12;28/42/56 DIAS;15/01/2024;1.01.02.04.04.00002
55854;06/04/2023;1052;Bobina #20 Zn 0,95x1000mm;11.110,00;KG;8,45;24590;METALURGICA BARRA DO PIRAI S/A;Atendido;25/04/2023;25/04/2023;104;Jonas Linshalm;14;30/45/60 DIAS;17/04/2023;1.01.02.04.03.00001
56616;31/05/2023;1052;Bobina #20 Zn 0,95x1000mm;12.000,00;KG;7,94;24590;METALURGICA BARRA DO PIRAI S/A;Atendido;12/06/2023;12/06/2023;109;Marcia - Compras;14;30/45/60 DIAS;09/06/2023;1.01.02.04.03.00001
54874;27/01/2023;1053;Bobina #20 Zn 0,95x1200mm;18.000,00;KG;8;20878;PANATLANTICA CATARINENSE S.A.;Atendido;20/02/2023;20/02/2023;109;Marcia - Compras;12;28/42/56 DIAS;13/02/2023;1.01.02.04.03.00002
